sample_id,acid,conc_gL,day,inoc,T,feedstock,pH,rep,inoc_T,T_inoc,inoc_pH,T_pH,pH_inoc,feedstock_T
B_45_F_5_B_D0,C4,0,0,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_5_B_D0,C4,0,0,B,35,F,5,B,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_35_F_5_A_D0,C4,0,0,B,35,F,5,A,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_A_D0,C4,0.005590079,0,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_9_A_D0,C3,0.012744849,0,B,35,F,9,A,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_9_C_D0,C3,0.029006745,0,B,35,F,9,C,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_9_C_D0,C3,0.030297372,0,B,45,F,9,C,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_5_B_D0,C3,0.031156635,0,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_9_B_D0,C3,0.039331758,0,B,35,F,9,B,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_5_C_D0,C4,0.047380795,0,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_5_C_D0,C3,0.049112819,0,B,35,F,5,C,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_B_D0,C5,0.052554981,0,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_5_A_D0,ISOC5,0.055957595,0,B,35,F,5,A,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_35_F_5_B_D0,C3,0.060759423,0,B,35,F,5,B,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_A_D0,ISOC5,0.063577777,0,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_C_D0,ISOC4,0.072099055,0,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_A_D0,C5,0.07497206,0,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_5_A_D0,ISOC4,0.078359698,0,B,35,F,5,A,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_A_D0,C3,0.085149004,0,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_C_D0,ISOC5,0.105488784,0,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_C_D0,C3,0.119995923,0,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_7_A_D0,C2,0.120522129,0,B,35,F,7,A,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_9_C_D0,C2,0.160985146,0,B,35,F,9,C,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_9_D_D0,C2,0.160985146,0,B,35,Control,9,D,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,Control_35
B_45_F_9_C_D0,C2,0.160985146,0,B,45,F,9,C,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_7_A_D0,C2,0.163491499,0,B,45,F,7,A,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_45_F_5_B_D0,C6,0.164267468,0,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_A_D0,C6,0.166744888,0,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_C_D0,C5,0.171811173,0,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_5_A_D0,C3,0.185172569,0,B,35,F,5,A,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_35_F_5_B_D0,C2,0.223665476,0,B,35,F,5,B,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_C_D0,C6,0.251782935,0,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_9_A_D0,C2,0.256561201,0,B,35,F,9,A,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_5_A_D0,C2,0.256561201,0,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_B_D0,C2,0.272236399,0,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
