sample_id,acid,conc_gL,day,T,pH
A_35_F_5_A_D0,C2,0.106018222,0.0,35.0,5.0
A_35_F_5_A_D1,C2,0.052312038,1.2,35.0,5.0
A_35_F_5_A_D1,C4,0.988501458,1.2,35.0,5.0
A_35_F_5_A_D1,C6,0.129533043,1.2,35.0,5.0
A_35_F_5_A_D2,C2,0.868033205,3.3,35.0,5.0
A_35_F_5_A_D2,C3,0.260412815,3.3,35.0,5.0
A_35_F_5_A_D2,C4,1.034284468,3.3,35.0,5.0
A_35_F_5_A_D2,C5,0.037204312,3.3,35.0,5.0
A_35_F_5_A_D2,C6,0.129433359,3.3,35.0,5.0
A_35_F_5_A_D2,ISOC4,0.048942785,3.3,35.0,5.0
A_35_F_5_A_D2,ISOC5,0.079611735,3.3,35.0,5.0
A_35_F_5_A_D3,C2,0.670587434,7.2,35.0,5.0
A_35_F_5_A_D3,C3,0.33708401,7.2,35.0,5.0
A_35_F_5_A_D3,C4,1.08745424,7.2,35.0,5.0
A_35_F_5_A_D3,C5,0.071604105,7.2,35.0,5.0
A_35_F_5_A_D3,C6,0.137687488,7.2,35.0,5.0
A_35_F_5_A_D3,ISOC4,0.063872434,7.2,35.0,5.0
A_35_F_5_A_D3,ISOC5,0.105413931,7.2,35.0,5.0
A_35_F_5_A_D4,C2,1.2124746050000001,11.3,35.0,5.0
A_35_F_5_A_D4,C3,0.471052888,11.3,35.0,5.0
A_35_F_5_A_D4,C4,1.1624373394999998,11.3,35.0,5.0
A_35_F_5_A_D4,C5,0.1199998645,11.3,35.0,5.0
A_35_F_5_A_D4,C6,0.1649287045,11.3,35.0,5.0
A_35_F_5_A_D4,ISOC4,0.06958879700000001,11.3,35.0,5.0
A_35_F_5_A_D4,ISOC5,0.118869271,11.3,35.0,5.0
A_35_F_5_B_D0,C2,0.219308334,0.0,35.0,5.0
A_35_F_5_B_D1,C4,0.364690328,1.2,35.0,5.0
A_35_F_5_B_D2,C2,0.732450529,3.3,35.0,5.0
A_35_F_5_B_D2,C3,0.340925257,3.3,35.0,5.0
A_35_F_5_B_D2,C4,1.287191755,3.3,35.0,5.0
A_35_F_5_B_D2,ISOC4,0.097653097,3.3,35.0,5.0
A_35_F_5_B_D2,ISOC5,0.136401309,3.3,35.0,5.0
A_35_F_5_B_D3,C2,0.834411645,7.2,35.0,5.0
A_35_F_5_B_D3,C3,0.422460544,7.2,35.0,5.0
A_35_F_5_B_D3,C4,1.366642103,7.2,35.0,5.0
A_35_F_5_B_D3,C5,0.178096831,7.2,35.0,5.0
A_35_F_5_B_D3,C6,0.116652432,7.2,35.0,5.0
A_35_F_5_B_D3,ISOC4,0.11175025,7.2,35.0,5.0
A_35_F_5_B_D3,ISOC5,0.167090667,7.2,35.0,5.0
A_35_F_5_B_D4,C2,1.060621144,11.3,35.0,5.0
A_35_F_5_B_D4,C3,0.585134892,11.3,35.0,5.0
A_35_F_5_B_D4,C4,1.292876712,11.3,35.0,5.0
A_35_F_5_B_D4,C5,0.234001265,11.3,35.0,5.0
A_35_F_5_B_D4,C6,0.121964023,11.3,35.0,5.0
A_35_F_5_B_D4,ISOC4,0.118999779,11.3,35.0,5.0
A_35_F_5_B_D4,ISOC5,0.186465854,11.3,35.0,5.0
A_35_F_5_C_D0,C2,0.128584437,0.0,35.0,5.0
A_35_F_5_C_D1,C2,0.175826267,1.2,35.0,5.0
A_35_F_5_C_D1,C4,1.178471564,1.2,35.0,5.0
A_35_F_5_C_D1,ISOC6,0.193400953,1.2,35.0,5.0
A_35_F_5_C_D2,C2,0.582830864,3.3,35.0,5.0
A_35_F_5_C_D2,C3,0.332372988,3.3,35.0,5.0
A_35_F_5_C_D2,C4,1.098830489,3.3,35.0,5.0
A_35_F_5_C_D2,C6,0.138513908,3.3,35.0,5.0
A_35_F_5_C_D2,ISOC4,0.097958297,3.3,35.0,5.0
A_35_F_5_C_D2,ISOC5,0.126880875,3.3,35.0,5.0
A_35_F_5_C_D3,C2,1.274374642,7.2,35.0,5.0
A_35_F_5_C_D3,C3,0.397582415,7.2,35.0,5.0
A_35_F_5_C_D3,C4,1.063108574,7.2,35.0,5.0
A_35_F_5_C_D3,C5,0.146367026,7.2,35.0,5.0
A_35_F_5_C_D3,C6,0.150700434,7.2,35.0,5.0
A_35_F_5_C_D3,ISOC4,0.102820667,7.2,35.0,5.0
A_35_F_5_C_D3,ISOC5,0.140641856,7.2,35.0,5.0
A_35_F_5_C_D4,C2,1.179640868,11.3,35.0,5.0
A_35_F_5_C_D4,C3,0.6801993555,11.3,35.0,5.0
A_35_F_5_C_D4,C4,1.2958222460000002,11.3,35.0,5.0
A_35_F_5_C_D4,C5,0.22835796549999998,11.3,35.0,5.0
A_35_F_5_C_D4,C6,0.22719646200000002,11.3,35.0,5.0
A_35_F_5_C_D4,C7,0.189367998,11.3,35.0,5.0
A_35_F_5_C_D4,ISOC4,0.1395681995,11.3,35.0,5.0
A_35_F_5_C_D4,ISOC5,0.19621223100000001,11.3,35.0,5.0
A_35_F_5_C_D4,ISOC6,0.15835518,11.3,35.0,5.0
A_35_F_5_D_D3,C2,0.028204225,7.2,35.0,5.0
A_35_F_5_INOC_3,C2,1.613210697,54.1,35.0,5.0
A_35_F_5_INOC_3,C3,0.531033648,54.1,35.0,5.0
A_35_F_5_INOC_3,C4,0.631454585,54.1,35.0,5.0
A_35_F_5_INOC_3,C5,0.38304661,54.1,35.0,5.0
A_35_F_5_INOC_3,C6,0.323332884,54.1,35.0,5.0
A_35_F_5_INOC_3,ISOC4,0.12048979,54.1,35.0,5.0
A_35_F_5_INOC_3,ISOC5,0.162912162,54.1,35.0,5.0
A_35_F_7_A_D0,C2,0.139880786,0.0,35.0,7.0
A_35_F_7_A_D1,C2,2.258907285,1.2,35.0,7.0
A_35_F_7_A_D1,C3,0.142730835,1.2,35.0,7.0
A_35_F_7_A_D1,C4,1.002121355,1.2,35.0,7.0
A_35_F_7_A_D1,ISOC4,0.053395515,1.2,35.0,7.0
A_35_F_7_A_D1,ISOC5,0.071364335,1.2,35.0,7.0
A_35_F_7_A_D2,C2,2.790053413,3.3,35.0,7.0
A_35_F_7_A_D2,C3,0.586669727,3.3,35.0,7.0
A_35_F_7_A_D2,C4,1.022405782,3.3,35.0,7.0
A_35_F_7_A_D2,C5,0.19154339,3.3,35.0,7.0
A_35_F_7_A_D2,ISOC4,0.108519248,3.3,35.0,7.0
A_35_F_7_A_D2,ISOC5,0.1375536,3.3,35.0,7.0
A_35_F_7_A_D3,C2,0.188300523,7.2,35.0,7.0
A_35_F_7_A_D3,C3,0.189437453,7.2,35.0,7.0
